Address,Lat,Lon,Flood_Zone,nine,twentyone,thirtysix,Reclaimed,Flipped,Price,Price_Diff,Proptype,Year_Built,Times_Sold,Year_Sold
14-16 Lakeville Rd,42.316181,-71.114699,0,0,0,0,0,0,9500000,0,Apartment,1925,1,2020
36 Fisher Ave,42.327569,-71.101805,0,0,0,0,0,0,9500000,0,Apartment,0,1,2019
38 Fisher Ave,42.327569,-71.101805,0,0,0,0,0,0,9500000,0,Apartment,0,1,2019
40 Fisher Ave,42.327569,-71.101805,0,0,0,0,0,0,9500000,0,Apartment,2016,1,2019
6 Louisburg Sq,42.358018,-71.068958,0,0,0,0,0,0,9500000,0,Single-Family,1983,1,2020
3-15 Lorraine Ter,42.347619,-71.139069,0,0,0,0,0,0,9487500,1025000,Apartment,1925,2,2006
1 Franklin St #PH4E,42.356057,-71.059157,0,0,0,0,0,0,9475000,0,Condominium,2016,1,2019
218 Spring St,42.274403,-71.168871,0,0,0,0,0,0,9410000,0,Apartment,1965,1,2015
250 Spring St,42.273629,-71.169924,0,0,0,0,0,0,9410000,0,Apartment,1952,1,2015
6 Arlington St #PH,42.354791,-71.072323,0,0,0,0,1,0,9377500,2045000,Condominium,1910,2,2008
78 Beacon St,42.356004,-71.070704,0,0,0,0,1,0,9300000,0,Single-Family,1900,1,2013
1901 Columbus Ave,42.317552,-71.098479,0,0,0,0,0,0,9290000,0,Three-Family,1890,1,2011
60 Seaver St,42.312019,-71.093322,0,0,0,0,0,0,9290000,0,Apartment,1900,1,2011
1 Dalton St #4502,42.345267,-71.084125,0,0,0,0,1,0,9250000,0,Condominium,2015,1,2020
117 Beacon St #2,42.354978,-71.074241,0,0,0,0,1,0,9250000,0,Condominium,2016,1,2020
400 Stuart St #PH1,42.348853,-71.074296,0,0,0,0,1,0,9250000,0,Condominium,2009,1,2022
310 Beacon St #4,42.352805,-71.082583,0,0,0,1,1,0,9235500,71000,Condominium,1900,2,2013
100 Beacon St #PHB,42.355395,-71.073063,0,0,0,0,1,0,9163000,326000,Condominium,1920,2,2020
776 Boylston St #PH1F,42.348809,-71.081814,0,0,0,0,1,0,9150000,0,Condominium,2008,1,2021
51 Commonwealth Ave,42.352849,-71.075743,0,0,0,0,1,0,9120000,0,Condominium,1899,1,2003
175 Beacon St,42.354449,-71.075838,0,0,0,0,1,0,9025000,5450000,Apartment,1905,2,2020
3222-3234 Washington St,42.312274,-71.101606,0,0,0,0,0,0,9000000,0,Apartment,1920,1,2014
38 Walnut Park,42.32351,-71.083967,0,0,0,0,0,0,9000000,0,Apartment,1945,1,2014
448 Beacon St #8,42.351186,-71.088208,0,0,0,0,1,0,9000000,0,Condominium,2016,1,2017
1 Dalton St #5102,42.345267,-71.084125,0,0,0,0,1,0,8950000,0,Condominium,2015,1,2019
130-132 Day St,42.322778,-71.109669,0,0,0,0,0,0,8887500,0,Apartment,1900,1,2011
1899 Columbus Ave,42.317597,-71.09848,0,0,0,0,0,0,8887500,0,Three-Family,1890,1,2011
25 Beacon St #3,42.357195,-71.06499,0,0,0,0,0,0,8850000,0,Condominium,2017,1,2017
25 Beacon St #5,42.357195,-71.06499,0,0,0,0,0,0,8800000,0,Condominium,2017,1,2017
2 Avery St #PH2A,42.353193,-71.063136,0,0,0,0,0,0,8787500,1767000,Condominium,2000,4,2022
100 Belvidere St #11D,42.346046,-71.083886,0,0,0,0,1,0,8750000,0,Condominium,2001,1,2018
128 Commonwealth Ave,42.351803,-71.077222,0,0,0,0,1,0,8750000,0,Condominium,1899,1,2011
40 River St,42.2718,-71.071643,0,0,0,0,0,0,8750000,5917000,Apartment,0,4,2004
35 South St,42.339946,-71.157263,0,0,0,0,0,0,8744000,9858000,Apartment,1920,2,2007
4-12 Elko St,42.349367,-71.149092,0,0,0,0,0,0,8739500,3306000,Apartment,1920,3,2014
128 Commonwealth Ave #3,42.351803,-71.077222,0,0,0,0,1,0,8650000,0,Condominium,1899,1,2004
7 Carol Ave,42.34519,-71.141081,0,0,0,0,0,0,8600000,0,Apartment,1910,1,2003
14 Union Park,42.342891,-71.07132,0,0,0,1,1,0,8550000,0,Single-Family,1899,1,2022
83 Mount Vernon St,42.358029,-71.068496,0,0,0,0,0,0,8550000,0,Apartment,1899,1,2018
150 Beacon St #PH,42.354676,-71.075708,0,0,0,0,1,0,8500000,0,Condominium,1900,1,2010
2 Commonwealth Ave #16A,42.353354,-71.071403,0,0,0,0,1,0,8500000,0,Condominium,1982,1,2014
250 Boylston St #5,42.35205,-71.069294,0,0,0,1,1,0,8500000,6000000,Condominium,1900,2,2016
3 Commonwealth Ave #1,42.353867,-71.071861,0,0,0,0,1,0,8500000,4000000,Condominium,1899,2,2013
410 Beacon St,42.351886,-71.085998,0,0,0,0,1,0,8500000,0,Single-Family,1899,1,2015
146 Beacon St #5,42.354722,-71.075538,0,0,0,0,1,0,8496500,9773000,Condominium,1880,3,2020
